,Date,OilPrice,OilVolume,GasPrice,GasVolume
672,2017-11-08,63.490001678466996,418072.0,3.1749999523162997,210306.0
673,2017-11-09,63.930000305176,319856.0,3.2000000476837003,247726.0
674,2017-11-10,63.520000457764,307965.0,3.2130000591278,179748.0
675,2017-11-13,63.159999847412,335154.0,3.1670000553131,208595.0
676,2017-11-14,62.209999084473,418939.0,3.1019999980927,219937.0
677,2017-11-15,61.86999893188501,279411.0,3.079999923706,192702.0
678,2017-11-16,61.360000610352,314062.0,3.0529999732971,186922.0
679,2017-11-17,62.720001220703004,356735.0,3.0969998836517,191293.0
680,2017-11-20,62.220001220703004,283479.0,3.0469999313355,160174.0
681,2017-11-21,62.569999694824,338157.0,3.0169999599457,133594.0
682,2017-11-22,63.319999694824,322870.0,2.9679999351502,139397.0
683,2017-11-24,63.860000610352,152696.0,2.8129999637604,94878.0
684,2017-11-27,63.840000152588,249086.0,2.9279999732971,56306.0
685,2017-11-28,63.610000610352,186934.0,3.0739998817444,13122.0
686,2017-11-29,63.110000610352,178202.0,3.1789999008178995,230343.0
687,2017-11-30,63.569999694824,26207.0,3.0250000953674,317425.0
688,2017-12-01,63.729999542236,308154.0,3.0610001087189,213443.0
689,2017-12-04,62.450000762939,250521.0,2.9849998950957994,238226.0
690,2017-12-05,62.860000610352,219338.0,2.9140000343323,240838.0
691,2017-12-06,61.220001220703004,314261.0,2.9219999313355,178775.0
692,2017-12-07,62.200000762939,238964.0,2.7630000114441002,392520.0
693,2017-12-08,63.400001525879,362429.0,2.7720000743866002,233766.0
694,2017-12-11,64.69000244140601,488007.0,2.8280000686645,196702.0
695,2017-12-12,63.340000152588,508993.0,2.6779999732971,312864.0
696,2017-12-13,62.439998626709006,354367.0,2.7149999141692995,256783.0
697,2017-12-14,63.310001373290994,277672.0,2.6840000152587997,205087.0
698,2017-12-15,63.229999542236,212995.0,2.6119999885558998,190914.0
699,2017-12-18,63.409999847412,234617.0,2.7449998855591,231827.0
700,2017-12-19,63.799999237061,213190.0,2.6919999122619998,219344.0
701,2017-12-20,64.55999755859399,222727.0,2.6370000839233,183119.0
702,2017-12-21,64.900001525879,155417.0,2.5980000495911004,177652.0
703,2017-12-22,65.25,110419.0,2.6670000553131,68187.0
704,2017-12-26,67.019996643066,74246.0,2.6429998874664,81462.0
705,2017-12-27,66.44000244140601,122431.0,2.7379999160767,19110.0
706,2017-12-28,66.720001220703,35088.0,2.9140000343323,313122.0
707,2017-12-29,66.870002746582,157948.0,2.9530000686645,272657.0
708,2018-01-02,66.569999694824,211739.0,3.055999994278,320176.0
709,2018-01-03,67.839996337891,260862.0,3.0079998970032,269889.0
710,2018-01-04,68.069999694824,246148.0,2.8800001144409,319705.0
711,2018-01-05,67.620002746582,183452.0,2.795000076294,230946.0
712,2018-01-08,67.779998779297,210348.0,2.835000038147,228242.0
713,2018-01-09,68.819999694824,319922.0,2.9230000972748,288553.0
714,2018-01-10,69.199996948242,290542.0,2.9059998989105,254155.0
715,2018-01-11,69.26000213623,341936.0,3.0840001106262003,405113.0
716,2018-01-12,69.870002746582,302098.0,3.2000000476837003,415933.0
717,2018-01-16,69.150001525879,322952.0,3.1289999485016002,332451.0
718,2018-01-17,69.379997253418,280419.0,3.2320001125336004,283967.0
719,2018-01-18,69.30999755859399,270231.0,3.1889998912811,293577.0
720,2018-01-19,68.610000610352,278360.0,3.1849999427794997,224665.0
721,2018-01-22,69.029998779297,250603.0,3.2239999771117995,201676.0
722,2018-01-23,69.959999084473,343734.0,3.444000005722,291378.0
723,2018-01-24,70.529998779297,308365.0,3.5090000629425,213630.0
724,2018-01-25,70.419998168945,301926.0,3.4470000267029,84785.0
725,2018-01-26,70.519996643066,227599.0,3.5050001144409,75224.0
726,2018-01-29,69.459999084473,202236.0,3.6310000419617,20414.0
727,2018-01-30,69.019996643066,135872.0,3.1949999332427996,257758.0
728,2018-01-31,69.050003051758,20433.0,2.9949998855591,334638.0
729,2018-02-01,69.650001525879,336923.0,2.8559999465942,359410.0
730,2018-02-02,68.580001831055,307134.0,2.845999956131,184073.0
731,2018-02-05,67.620002746582,335637.0,2.7469999790192,200176.0
732,2018-02-06,66.860000610352,328847.0,2.7590000629425,185164.0
733,2018-02-07,65.51000213623,567758.0,2.7019999027252,220437.0
734,2018-02-08,64.80999755859399,346318.0,2.6970000267029,191585.0
735,2018-02-09,62.790000915527,399495.0,2.5840001106262003,236204.0
736,2018-02-12,62.590000152588,349667.0,2.5520000457764,196427.0
737,2018-02-13,62.720001220703004,367263.0,2.5940001010894997,203096.0
738,2018-02-14,64.360000610352,349099.0,2.5869998931885,175161.0
739,2018-02-15,64.330001831055,292913.0,2.579999923706,163821.0
740,2018-02-16,64.839996337891,239577.0,2.558000087738,112338.0
741,2018-02-19,65.669998168945,125633.0,2.6059999465942,0.0
742,2018-02-20,65.25,289165.0,2.6159999370575,147855.0
743,2018-02-21,65.419998168945,245865.0,2.6589999198914,125222.0
744,2018-02-22,66.389999389648,253001.0,2.6340000629425,60419.0
745,2018-02-23,67.30999755859399,201717.0,2.625,66996.0
746,2018-02-26,67.5,188304.0,2.6389999389648,13759.0
747,2018-02-27,66.629997253418,106337.0,2.683000087738,122830.0
748,2018-02-28,65.779998779297,27394.0,2.6670000553131,133147.0
749,2018-03-01,63.830001831055,340966.0,2.6979999542236,206388.0
750,2018-03-02,64.370002746582,266382.0,2.6949999332427996,137999.0
751,2018-03-05,65.540000915527,261060.0,2.7039999961852996,118016.0
752,2018-03-06,65.790000915527,199793.0,2.7490000724792005,132005.0
753,2018-03-07,64.339996337891,332906.0,2.7769999504088996,144973.0
754,2018-03-08,63.610000610352,294786.0,2.7560000419617,148183.0
755,2018-03-09,65.48999786377,286492.0,2.7320001125336004,131468.0
756,2018-03-12,64.949996948242,240034.0,2.7780001163483,163455.0
757,2018-03-13,64.639999389648,320571.0,2.7860000133514,146848.0
758,2018-03-14,64.889999389648,267591.0,2.7309999465942,146222.0
